frame,method,threshold,TP,FP,FN,F1,n_gt
763,λ = 0.001 (T=3),2.000000,0,0,26,0.000000,26
764,λ = 0.001 (T=3),2.000000,1,0,26,0.071429,27
765,λ = 0.001 (T=3),2.000000,0,0,26,0.000000,26
768,λ = 0.001 (T=3),2.000000,0,0,26,0.000000,26
771,λ = 0.001 (T=3),2.000000,0,0,29,0.000000,29
772,λ = 0.001 (T=3),2.000000,0,0,27,0.000000,27
773,λ = 0.001 (T=3),2.000000,0,0,27,0.000000,27
776,λ = 0.001 (T=3),2.000000,1,0,25,0.074074,26
777,λ = 0.001 (T=3),2.000000,0,0,28,0.000000,28
778,λ = 0.001 (T=3),2.000000,0,0,28,0.000000,28
781,λ = 0.001 (T=3),2.000000,2,0,24,0.142857,26
782,λ = 0.001 (T=3),2.000000,1,0,27,0.068966,28
783,λ = 0.001 (T=3),2.000000,0,0,29,0.000000,29
784,λ = 0.001 (T=3),2.000000,1,0,25,0.074074,26
785,λ = 0.001 (T=3),2.000000,2,0,24,0.142857,26
786,λ = 0.001 (T=3),2.000000,1,0,25,0.074074,26
852,λ = 0.001 (T=3),2.000000,0,0,26,0.000000,26
872,λ = 0.001 (T=3),2.000000,1,0,25,0.074074,26
873,λ = 0.001 (T=3),2.000000,0,0,29,0.000000,29
875,λ = 0.001 (T=3),2.000000,0,0,26,0.000000,26
876,λ = 0.001 (T=3),2.000000,0,0,26,0.000000,26
111,λ = 0.1 (T=1),40.000000,20,1,6,0.851064,26
145,λ = 0.1 (T=1),40.000000,21,3,5,0.840000,26
464,λ = 0.1 (T=1),40.000000,16,0,10,0.761905,26
712,λ = 0.1 (T=1),40.000000,17,3,10,0.723404,27
724,λ = 0.1 (T=1),40.000000,18,1,10,0.765957,28
725,λ = 0.1 (T=1),40.000000,20,1,7,0.833333,27
726,λ = 0.1 (T=1),40.000000,15,1,12,0.697674,27
727,λ = 0.1 (T=1),40.000000,17,2,10,0.739130,27
728,λ = 0.1 (T=1),40.000000,16,2,11,0.711111,27
738,λ = 0.1 (T=1),40.000000,16,1,10,0.744186,26
739,λ = 0.1 (T=1),40.000000,16,1,10,0.744186,26
740,λ = 0.1 (T=1),40.000000,20,3,6,0.816327,26
741,λ = 0.1 (T=1),40.000000,20,0,8,0.833333,28
742,λ = 0.1 (T=1),40.000000,18,2,8,0.782609,26
743,λ = 0.1 (T=1),40.000000,18,4,8,0.750000,26
744,λ = 0.1 (T=1),40.000000,19,2,7,0.808511,26
748,λ = 0.1 (T=1),40.000000,15,3,11,0.681818,26
750,λ = 0.1 (T=1),40.000000,19,0,9,0.808511,28
751,λ = 0.1 (T=1),40.000000,14,1,13,0.666667,27
753,λ = 0.1 (T=1),40.000000,13,2,13,0.634146,26
758,λ = 0.1 (T=1),40.000000,15,2,12,0.681818,27
759,λ = 0.1 (T=1),40.000000,13,1,14,0.634146,27
760,λ = 0.1 (T=1),40.000000,19,2,8,0.791667,27
761,λ = 0.1 (T=1),40.000000,16,3,11,0.695652,27
762,λ = 0.1 (T=1),40.000000,17,2,11,0.723404,28
763,λ = 0.1 (T=1),40.000000,21,2,5,0.857143,26
764,λ = 0.1 (T=1),40.000000,16,4,11,0.680851,27
765,λ = 0.1 (T=1),40.000000,15,4,11,0.666667,26
768,λ = 0.1 (T=1),40.000000,19,2,7,0.808511,26
771,λ = 0.1 (T=1),40.000000,16,6,13,0.627451,29
772,λ = 0.1 (T=1),40.000000,15,1,12,0.697674,27
773,λ = 0.1 (T=1),40.000000,20,2,7,0.816327,27
776,λ = 0.1 (T=1),40.000000,11,3,15,0.550000,26
777,λ = 0.1 (T=1),40.000000,17,3,11,0.708333,28
778,λ = 0.1 (T=1),40.000000,18,5,10,0.705882,28
781,λ = 0.1 (T=1),40.000000,20,0,6,0.869565,26
782,λ = 0.1 (T=1),40.000000,17,3,11,0.708333,28
783,λ = 0.1 (T=1),40.000000,18,4,11,0.705882,29
784,λ = 0.1 (T=1),40.000000,19,1,7,0.826087,26
785,λ = 0.1 (T=1),40.000000,19,1,7,0.826087,26
